created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,date,hour,day,month,dayofweek
2026-04-07 13:09:50+00:00,88,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:10:46+00:00,89,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:11:39+00:00,90,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:12:00+00:00,91,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:20:28+00:00,92,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:20:49+00:00,93,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:21:11+00:00,94,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:21:33+00:00,95,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:21:54+00:00,96,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:29:12+00:00,97,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:29:34+00:00,98,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:30:24+00:00,99,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:30:45+00:00,100,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:41:24+00:00,101,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:44:23+00:00,102,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:44:45+00:00,103,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:45:06+00:00,104,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:46:45+00:00,105,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:47:06+00:00,106,0.470588235294116,0.4931506849315066,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:52:52+00:00,107,0.235294117647058,0.7077625570776256,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:53:13+00:00,108,0.29411764705882604,0.689497716894977,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:53:35+00:00,109,0.352941176470587,0.6757990867579906,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:53:56+00:00,110,0.352941176470587,0.6712328767123288,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:54:17+00:00,111,0.4117647058823515,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:54:39+00:00,112,0.4117647058823515,0.657534246575342,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:55:00+00:00,113,0.4117647058823515,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:55:21+00:00,114,0.4117647058823515,0.6621004566210047,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:55:43+00:00,115,0.4117647058823515,0.657534246575342,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:56:04+00:00,116,0.470588235294116,0.6529680365296802,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:56:26+00:00,117,0.4117647058823515,0.657534246575342,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:56:47+00:00,118,0.4117647058823515,0.6621004566210047,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:57:08+00:00,119,0.4117647058823515,0.6621004566210047,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:57:30+00:00,120,0.4117647058823515,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:57:51+00:00,121,0.4117647058823515,0.657534246575342,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:58:12+00:00,122,0.470588235294116,0.657534246575342,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:58:34+00:00,123,0.470588235294116,0.6621004566210047,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:58:55+00:00,124,0.470588235294116,0.6621004566210047,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:59:17+00:00,125,0.470588235294116,0.6621004566210047,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:59:38+00:00,126,0.4117647058823515,0.657534246575342,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 13:59:59+00:00,127,0.470588235294116,0.6712328767123288,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,13,7,4,1
2026-04-07 14:00:21+00:00,128,0.470588235294116,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
