name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,cloudcover,visibility,solarradiation,solarenergy,severerisk,soilmoisture04,soilmoisture10,windspeed50,conditions,description,icon,stations,source,windspeed,uvindex,soilmoisture01
india,2025-08-22,92.3,82.4,85.5,109.7,92.5,99.1,79.4,82.2,0.124,100,4.17,rain,65.1,1.9,156.5,13.6,60.0,3.6,4.9,11.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-08-23,92.2,78.6,83.8,113.2,78.6,93.0,78.7,85.6,1.358,100,12.5,rain,80.5,2.0,153.0,13.2,60.0,3.6,4.8,15.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999,INM00042139",obs,,,
india,2025-08-24,91.4,78.6,82.8,107.7,78.6,90.6,78.1,86.6,0.209,100,12.5,rain,84.7,2.4,176.1,15.2,30.0,3.7,4.9,17.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42139099999,42181099999",obs,,,
india,2025-08-25,84.2,78.8,81.3,94.5,78.8,88.3,77.9,89.7,0.385,100,79.17,rain,85.6,1.9,65.2,5.7,30.0,3.9,5.0,17.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,42182099999,INI0000VIDD,VIDP,42181099999,INM00042139",obs,,,
india,2025-08-26,87.5,78.7,81.1,105.7,78.7,87.8,78.7,92.6,0.726,100,83.33,rain,81.3,1.8,136.0,11.6,30.0,3.9,5.1,19.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-08-27,85.1,78.8,81.5,100.2,78.8,89.7,79.0,92.1,0.123,100,54.17,rain,81.4,1.8,181.0,15.5,30.0,3.7,5.0,10.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-08-28,93.4,80.6,86.0,115.8,87.1,99.8,79.8,82.8,0.308,100,54.17,rain,71.6,1.8,173.4,15.2,30.0,3.6,4.9,11.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-08-29,86.0,80.1,82.8,104.7,86.7,94.7,80.1,91.5,0.427,100,54.17,rain,87.9,1.5,141.8,12.2,30.0,3.7,4.9,17.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-08-30,93.1,78.7,84.9,110.1,78.7,95.1,78.3,81.6,0.104,100,50.0,rain,63.0,2.2,156.5,13.4,30.0,3.6,4.9,15.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,VIDP",obs,,,
india,2025-08-31,85.9,78.7,81.9,99.1,78.7,89.7,77.1,85.4,0.913,100,91.67,rain,83.8,2.4,69.8,5.9,30.0,3.7,5.0,15.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,VIDP,obs,,,
india,2025-09-01,87.7,75.1,78.4,104.9,75.1,80.7,75.9,92.3,1.636,100,100.0,rain,95.5,1.8,58.8,5.0,10.0,3.9,5.0,25.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,VIDP,obs,,,
india,2025-09-02,84.1,76.9,79.1,93.9,76.9,81.9,77.0,93.3,2.271,100,100.0,rain,94.2,2.2,65.1,5.5,10.0,4.1,5.3,22.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDD,VIDP",obs,,,
india,2025-09-03,89.3,75.1,79.6,106.5,75.1,82.5,76.7,91.2,0.826,100,100.0,rain,91.9,1.9,129.2,11.3,30.0,4.2,5.5,14.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
